,accuracy,loss,precision,recall,val_accuracy,val_loss,val_precision,val_recall
0,0.8110021948814392,0.3813799321651459,0.6725663542747498,0.3576470613479614,0.9716775417327881,0.11582579463720322,0.9622641801834106,0.9189189076423645
1,0.9814814925193787,0.08233899623155594,0.9733656048774719,0.9458823800086975,0.984749436378479,0.045305732637643814,0.9727272987365723,0.9639639854431152
2,0.9896514415740967,0.0447147861123085,0.9787735939025879,0.9764705896377563,0.9869281053543091,0.038704972714185715,0.9816513657569885,0.9639639854431152
3,0.9912853837013245,0.035661060363054276,0.9857482314109802,0.9764705896377563,0.9934640526771545,0.0200215931981802,0.9821428656578064,0.9909909963607788
4,0.992919385433197,0.024471042677760124,0.9835680723190308,0.9858823418617249,0.9978213310241699,0.016729457303881645,1.0,0.9909909963607788
5,0.9934640526771545,0.02476891130208969,0.9813519716262817,0.9905882477760315,0.9978213310241699,0.016616474837064743,1.0,0.9909909963607788
6,0.9972766637802124,0.009856846183538437,0.9929577708244324,0.9952940940856934,0.9978213310241699,0.010404648259282112,1.0,0.9909909963607788
7,0.9961873888969421,0.01167772151529789,0.9906103014945984,0.9929412007331848,0.9978213310241699,0.009320417419075966,1.0,0.9909909963607788
8,0.9978213310241699,0.0064789713360369205,0.9929742217063904,0.9976470470428467,1.0,0.0021393755450844765,1.0,1.0
9,0.9983659982681274,0.0050565279088914394,0.9953051805496216,0.9976470470428467,0.9978213310241699,0.006073599215596914,1.0,0.9909909963607788
10,0.9972766637802124,0.008166092447936535,0.9929577708244324,0.9952940940856934,1.0,0.0013051084242761135,1.0,1.0
11,0.9983659982681274,0.004260404501110315,0.9953051805496216,0.9976470470428467,0.9978213310241699,0.0027463564183562994,1.0,0.9909909963607788
12,0.9967319965362549,0.011409682221710682,0.9929412007331848,0.9929412007331848,0.9978213310241699,0.0075654382817447186,1.0,0.9909909963607788
13,0.9983659982681274,0.004780261777341366,0.9953051805496216,0.9976470470428467,0.9978213310241699,0.004317637998610735,1.0,0.9909909963607788
14,0.9994553327560425,0.002981633646413684,0.9976525902748108,1.0,1.0,0.00010035024752141908,1.0,1.0
15,0.9994553327560425,0.001948110992088914,1.0,0.9976470470428467,1.0,0.00011261017789365724,1.0,1.0
16,1.0,0.0009671256993897259,1.0,1.0,1.0,8.608524512965232e-05,1.0,1.0
17,1.0,0.0006194275338202715,1.0,1.0,1.0,0.00032055217889137566,1.0,1.0
18,1.0,0.00026901409728452563,1.0,1.0,1.0,2.160265648853965e-05,1.0,1.0
19,1.0,0.000631604460068047,1.0,1.0,1.0,2.7650090487441048e-05,1.0,1.0
20,1.0,0.00021159759489819407,1.0,1.0,1.0,0.0012120549799874425,1.0,1.0
21,1.0,0.0001206308079417795,1.0,1.0,1.0,0.0013802812900394201,1.0,1.0
22,0.998910665512085,0.0037812991067767143,0.9976470470428467,0.9976470470428467,1.0,0.00033665754017420113,1.0,1.0
23,0.991830050945282,0.022480180487036705,0.9834905862808228,0.981176495552063,0.9978213310241699,0.004315075930207968,0.9910714030265808,1.0
24,0.9978213310241699,0.004816099070012569,0.9952940940856934,0.9952940940856934,1.0,0.00040499938768334687,1.0,1.0
25,0.9994553327560425,0.0029506057035177946,1.0,0.9976470470428467,1.0,0.0002890367468353361,1.0,1.0
26,1.0,0.0011152020888403058,1.0,1.0,1.0,0.00033786523272283375,1.0,1.0
27,0.998910665512085,0.0017694223206490278,0.9976470470428467,0.9976470470428467,1.0,0.00010267412289977074,1.0,1.0
28,1.0,0.0009198830230161548,1.0,1.0,1.0,4.8020589019870386e-05,1.0,1.0
29,1.0,0.00039990979712456465,1.0,1.0,1.0,0.00023209840583149344,1.0,1.0
30,1.0,0.0002753908047452569,1.0,1.0,1.0,0.00010701590508688241,1.0,1.0
31,1.0,0.00017706703511066735,1.0,1.0,1.0,6.61446902086027e-05,1.0,1.0
32,1.0,0.00022744786110706627,1.0,1.0,1.0,0.0002697432064451277,1.0,1.0
33,1.0,7.729066419415176e-05,1.0,1.0,1.0,0.0004642954154405743,1.0,1.0
34,1.0,0.00017342502542305738,1.0,1.0,0.9978213310241699,0.0017491985345259309,1.0,0.9909909963607788
35,1.0,6.361450505210087e-05,1.0,1.0,1.0,0.00148862786591053,1.0,1.0
36,1.0,0.0001591535547049716,1.0,1.0,1.0,1.1441667993494775e-05,1.0,1.0
37,1.0,0.0001715452381176874,1.0,1.0,1.0,5.4443112276203465e-06,1.0,1.0
38,1.0,9.275635238736868e-05,1.0,1.0,1.0,4.935674041917082e-06,1.0,1.0
39,1.0,7.494760939152911e-05,1.0,1.0,1.0,2.6942710974253714e-05,1.0,1.0
40,1.0,0.00014871796884108335,1.0,1.0,1.0,0.0004385807260405272,1.0,1.0
41,0.9994553327560425,0.001513192430138588,1.0,0.9976470470428467,0.9978213310241699,0.005740457680076361,1.0,0.9909909963607788
42,0.992919385433197,0.02015436254441738,0.9858490824699402,0.9835293889045715,0.9978213310241699,0.009275641292333603,1.0,0.9909909963607788
43,0.9967319965362549,0.011575252749025822,0.9906322956085205,0.9952940940856934,1.0,0.00020223039609845728,1.0,1.0
44,1.0,0.0010306386975571513,1.0,1.0,1.0,9.137579036178067e-05,1.0,1.0
45,1.0,0.0007966941921040416,1.0,1.0,1.0,7.568744331365451e-05,1.0,1.0
46,1.0,0.0004745609185192734,1.0,1.0,1.0,0.00015689108113292605,1.0,1.0
47,1.0,0.0001567285944474861,1.0,1.0,1.0,0.00024111202219501138,1.0,1.0
48,1.0,0.00030335402698256075,1.0,1.0,1.0,0.0009277075878344476,1.0,1.0
49,1.0,0.00014713984273839742,1.0,1.0,1.0,0.0003620477218646556,1.0,1.0
